IPEDS,BlkTotalStudents,HispTotalStudents,2017USNewstop65,2014MedSchool,VetSchool,TotalEnroll,GradEnroll,Sixyeargraduationrate,ACTSATAvg,FreshAdmitRate,FreshmenRetention,UGPellGrants,Bachelors,DoctProfess,TotalEGExpend,EGSt.FTE,StateAppropRev,TuitionFeeRev,RevfromState,RevfromTuitFees,fromStateTuition,Endowment,TotalResearchExpenditures000,StudentFacultyRatio,TotalFaculty,ARUFacultyAwards,WallSt.JourlRank,ST.FTE,TotalDegrees,TotalExpend,TotalRevenue,EnowmentSt.FTE,AGResearch000,TotalTenureTenureTrackFacutly,FacutlyFTE,UGwithLoans,UGAge25,TotalAge25,FullTime,FacultyAcademyMemb,UGTotalEnroll,GRTotalEnroll,FulltimeStudents,ParttimeStudents,UGEnrollAge25,GREnrollAge25,BachDegrees,MastersDegrees,DoctoralDegrees,ProfessDegrees,ACTSAT25,ACTSAT75,StateTuitSt.FTE,AcademicSupportExpenditures,StudentServicesExpenditures,EndowmentFigure,EndowmentperStudentFTE,TotalFaculty,TotalTenureTenureTrackFacutly
221759,7,3,46,0,1,27845,21,70,27.0,76,85,29,69,8,966312187,46674,296797701,268584809,23,21,44,597474890,240592,17,1731,11,253,25590,6755,1194401634,1285481361,23224,1274,1123,1594,44,7,21,88,5,21863,5982,24463,3382,1638,4245,4632,1551,353,219,24,30,22094,782734414,30587,782734414,30587,1526,1117
139959,8,5,18,0,1,36130,24,85,27.5,53,95,20,75,9,1137484065,39163,400083488,401047785,27,27,54,1016731788,374264,18,2245,8,245,33741,9937,1321399791,1475768192,29295,79815,1606,2028,38,3,19,90,6,27547,8583,32546,3584,938,5781,7447,1598,467,425,25,30,23744,939024216,27831,939024216,27831,1918,1606
243780,3,4,20,0,1,40472,24,75,26.5,59,92,17,72,9,1381693913,44341,305080282,624529024,17,34,51,2255000000,558611,12,1864,14,37,36844,10245,1633695271,1814728285,39927,120012,1747,2070,33,4,20,87,27,30560,9912,35030,5442,1369,6710,7346,1859,717,256,23,30,25231,2445541926,66376,2445541926,66376,1783,1700
228723,3,19,27,0.5,1,63813,23,79,26.0,67,90,24,71,10,2325612600,48196,1145743188,568219956,37,18,55,9944935710,866678,20,3579,18,80,58252,14647,2807502613,3106852015,169313,181658,2061,3182,33,3,18,87,24,48959,14854,55471,8342,1532,9977,10449,2710,758,730,23,29,29423,10521034492,180613,10521034492,180613,2983,1995
171100,7,4,33,1,1,50538,23,77,25.5,66,92,21,71,10,1761182407,47701,264429100,796953689,11,33,44,2591886153,558248,17,3076,16,63,46197,11641,2203615657,2409680754,58872,104617,1831,2948,45,3,19,87,12,39143,11395,44026,6512,1262,8167,8299,2138,577,627,23,28,22975,2549137018,55180,2549137018,55180,2616,1811
174066,4,3,26,1,1,50678,33,77,28.5,45,93,20,63,13,2654252526,70137,565807305,622508322,18,20,38,3268184653,880618,17,3760,32,110,42805,13521,3002216917,3093036263,53913,89171,2363,3860,42,10,31,77,40,34071,16607,38869,11809,3496,12448,8452,3308,725,1036,26,31,27761,2992707059,69914,2992707059,69914,3096,2191
0,6,3,23,0,0,22698,21,81,29.0,51,93,15,72,4,693048280,40436,106344796,316893164,13,39,53,0,171215,18,1263,4,207,20983,5351,848463389,804913728,0,12506,882,1177,43,4,18,89,2,18016,4682,20125,2573,696,3283,3844,1270,237,0,27,31,20171,836151997,39850,836151997,39850,1134,878
151351,4,5,36,0,0,48514,21,77,26.0,78,89,18,70,7,1152460573,35951,211850535,705286278,14,47,61,1986645862,485076,17,2316,17,129,41507,11116,1492193010,1511178406,23496,0,1348,2110,32,2,17,78,8,38364,10150,38003,10511,835,7277,7798,2487,538,279,23,29,22096,961053869,23154,961053869,23154,1995,1348
186380,8,12,25,1,0,49428,28,80,27.0,58,93,28,65,11,1974609000,67818,680668000,654304000,22,21,43,1076777714,628613,15,5694,20,110,44562,11707,3022117000,3123546000,18230,31354,1767,4004,52,8,25,85,36,35484,13944,42129,7299,2777,9708,7569,2780,597,656,24,30,29958,763561000,17135,763561000,17135,3158,1753
100858,7,3,43,0,1,27287,20,73,27.0,78,90,14,74,8,713358897,35990,222838374,363014113,23,37,60,703759237,135899,19,1399,1,273,24372,6264,877156995,974160311,28723,56845,1021,1277,35,4,16,84,1,21786,5501,22915,4372,931,3564,4638,1107,257,262,24,30,24038,593270763,24342,593270763,24342,1216,996
